time,open,high,low,close,vol,mount
2014/04/16 10:38:18.100,2231.8,2231.8,2231.4,2231.8,26,61987
2014/04/16 10:38:18.600,2232.0,2232.0,2231.6,2232.0,55,61979
2014/04/16 10:38:19.100,2231.4,2231.6,2231.4,2231.4,13,61976
2014/04/16 10:38:19.600,2231.4,2231.8,2231.4,2231.4,4,61977
2014/04/16 10:38:20.100,2231.6,2231.8,2231.6,2231.6,23,61989
2014/04/16 10:38:20.600,2231.8,2231.8,2231.6,2231.8,42,62015
2014/04/16 10:38:21.100,2231.8,2232.0,2231.8,2231.8,25,62010
2014/04/16 10:38:21.600,2231.6,2231.8,2231.6,2231.6,19,62015
2014/04/16 10:38:22.100,2231.6,2231.8,2231.4,2231.6,7,62016
2014/04/16 10:38:22.600,2231.4,2231.6,2231.4,2231.4,8,62016
2014/04/16 10:38:23.100,2231.8,2231.8,2231.6,2231.8,2,62015
2014/04/16 10:38:23.600,2231.4,2231.8,2231.6,2231.4,11,62008
2014/04/16 10:38:24.100,2231.4,2231.8,2231.6,2231.4,3,62009
2014/04/16 10:38:24.600,2231.6,2231.6,2231.4,2231.6,18,62015
2014/04/16 10:38:25.100,2231.4,2231.6,2231.4,2231.4,17,62004
2014/04/16 10:38:25.600,2231.2,2231.4,2231.2,2231.2,19,61991
2014/04/16 10:38:26.100,2231.2,2231.4,2231.2,2231.2,11,61981
2014/04/16 10:38:26.600,2231.2,2231.2,2231.0,2231.2,21,61969
2014/04/16 10:38:27.100,2231.2,2231.2,2231.0,2231.2,74,61967
2014/04/16 10:38:27.600,2231.0,2231.0,2230.8,2231.0,9,61963
2014/04/16 10:38:28.100,2231.0,2231.0,2230.8,2231.0,16,61960
2014/04/16 10:38:28.600,2231.0,2231.0,2230.8,2231.0,35,61970
2014/04/16 10:38:29.100,2231.0,2231.0,2230.8,2231.0,34,61961
2014/04/16 10:38:29.600,2230.8,2231.0,2230.8,2230.8,4,61962
2014/04/16 10:38:30.100,2230.8,2231.0,2230.8,2230.8,27,61968
2014/04/16 10:38:30.600,2231.0,2231.0,2230.8,2231.0,3,61967
2014/04/16 10:38:31.100,2230.8,2231.0,2230.8,2230.8,23,61960
2014/04/16 10:38:31.600,2231.0,2231.0,2230.8,2231.0,3,61959
